brand,engine_type,gearbox,mileage,model,price,url,year
Peugeot,Diesel,Automatique,1790,5008,43950,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956786,2023
Peugeot,Diesel,Automatique,9297,3008,38400,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956784,2023
Peugeot,Diesel,Automatique,2664,3008,35709,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956785,2023
Peugeot,Diesel,Automatique,4642,3008,37900,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956781,2023
Peugeot,Diesel,Automatique,3397,5008,45500,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956782,2023
Peugeot,Diesel,Automatique,1956,5008,41350,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956776,2023
Peugeot,Diesel,Automatique,5895,308,30950,https://www.spoticar.fr/voitures-occasion/peugeot-308-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956780,2023
Peugeot,Essence,Automatique,2746,208,24100,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-eat8-allure-pack-yvelines-france-1202956772,2023
Peugeot,Diesel,Automatique,3948,3008,37990,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956777,2023
Peugeot,Hybride rechargeable,Automatique,1753,408,48500,https://www.spoticar.fr/voitures-occasion/peugeot-408-phev-225-e-eat8-gt-yvelines-france-1202956774,2023
Peugeot,Diesel,Automatique,9933,3008,36990,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956771,2023
Citroën,Hybride rechargeable,Automatique,11710,C5,43793,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-hybride-rechargeable-225-e-eat8-shine-yvelines-france-1202956768,2023
Peugeot,Essence,Manuelle,5,3008,32374,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956763,2023
Peugeot,Essence,Manuelle,5,3008,32374,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956765,2023
Citroën,Essence,Manuelle,24545,C3,17850,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-110-ss-bvm6-shine-yvelines-france-1202956762,2023
Peugeot,Diesel,Automatique,5,5008,38750,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956761,2023
Peugeot,Essence,Manuelle,5,3008,32373,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956759,2023
Peugeot,Essence,Manuelle,5,3008,32373,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956760,2023
Peugeot,Essence,Manuelle,5,3008,32815,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956758,2023
